SAMPLE DATE,COMMODITY,LAB NUMBER,STATE/COUNTRY OF ORIGIN,GROWER CITY,ORGANIC COMMODITY,ILLEGAL CASE NUMBER,BRANDNAME,COLLECTION SITE NAME,COLLECTION SITE CITY,COLLECTION SITE TYPE,ANALYSIS TYPE,PESTICIDE SCREEN,CHEMICAL DETECTED (IF ANY),AMOUNT OF CHEMICAL DETECTED (PPM),U.S. EPA TOLERANCE LEVEL (PPM),MINIMUM DETECTION LIMIT (PPM)
7-Jan-14,TOMATILLO,R14M00040,Mexico,,No,,Ciruli Brothers,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,LCMSMS,,0,,
7-Jan-14,"LETTUCE, LEAF (ALL OR UNSPEC)",R14M00041,United States,,No,,Tanimura & Antle,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,LCMSMS,CYAZOFAMID,0.969,10,0.02
7-Jan-14,"LETTUCE, LEAF (ALL OR UNSPEC)",R14M00041,United States,,No,,Tanimura & Antle,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,GCMSMS,LAMBDA-CYHALOTHRIN,0.051,2,0.01
7-Jan-14,"LETTUCE, LEAF (ALL OR UNSPEC)",R14M00041,United States,,No,,Tanimura & Antle,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,GCMSMS,PERMETHRIN,0.016,20,0.01
7-Jan-14,"LETTUCE, LEAF (ALL OR UNSPEC)",R14M00041,United States,,No,,Tanimura & Antle,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,LCMSMS,MANDIPROPAMID,0.162,20,0.01
7-Jan-14,PEAR,R14M00046,United States,,No,,Independent,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,THIOPHANATE-METHYL,0.056,3,0.01
7-Jan-14,PEAR,R14M00046,United States,,No,,Independent,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,FLUDIOXONIL,0.125,5,0.02
7-Jan-14,PEAR,R14M00046,United States,,No,,Independent,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,PYRIMETHANIL,1.6,14,0.01
7-Jan-14,PEAR,R14M00046,United States,,No,,Independent,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,GCMSMS,,0,,
7-Jan-14,APPLE,R14M00047,United States,,No,,Independent,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,SPIRODICLOFEN,0.018,0.8,0.01
7-Jan-14,APPLE,R14M00047,United States,,No,,Independent,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,GCMSMS,DIPHENYLAMINE,0.399,10,0.01
7-Jan-14,APPLE,R14M00047,United States,,No,,Independent,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,PYRIMETHANIL,0.497,14,0.01
7-Jan-14,CANTALOUPE,R14M00048,Guatemala,,No,,Del Monte Quality,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,GCMSMS,CHLOROTHALONIL,0.052,5,0.03
7-Jan-14,CANTALOUPE,R14M00048,Guatemala,,No,,Del Monte Quality,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,METALAXYL,0.015,1,0.01
7-Jan-14,GINGER ROOT,R14M00049,China - mainland,,No,T-06-C14,Fresh Ginger Produce of China,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,GCMSMS,,0,,
7-Jan-14,GINGER ROOT,R14M00049,China - mainland,,No,T-06-C14,Fresh Ginger Produce of China,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,ALDICARB SULFOXIDE,0.026,NTE,0.02
7-Jan-14,ORANGE (ALL OR UNSPEC),R14M00050,California,,No,,Cutler Creek Best,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,LCMSMS,IMAZALIL,1.14,10,0.01
7-Jan-14,ORANGE (ALL OR UNSPEC),R14M00050,California,,No,,Cutler Creek Best,Golden Rule Produce,"Morgan Hill, CA",Wholesale,Basic Screening,GCMSMS,,0,,
7-Jan-14,KIWI FRUIT,R14M00051,California,,No,,California Kiwifruit,Galli Produce,"San Jose, CA",Wholesale,Basic Screening,LCMSMS,,0,,
7-Jan-14,KIWI FRUIT,R14M00051,California,,No,,California Kiwifruit,Galli Produce,"San Jose, CA",Wholesale,Basic Screening,GCMSMS,,0,,
7-Jan-14,KALE,R14M00052,United States,"Oakland, CA",No,,Ratto Bros,Galli Produce,"San Jose, CA",Wholesale,Basic Screening,LCMSMS,IMIDACLOPRID,0.053,3.5,0.02
7-Jan-14,KALE,R14M00052,United States,"Oakland, CA",No,,Ratto Bros,Galli Produce,"San Jose, CA",Wholesale,Basic Screening,GCMSMS,,0,,
7-Jan-14,KALE,R14M00052,United States,"Oakland, CA",No,,Ratto Bros,Galli Produce,"San Jose, CA",Wholesale,Basic Screening,LCMSMS,THIAMETHOXAM,0.013,3,0.01
